"","x"
"1",6.77258802831204e-05
"2",-0.00137010791252012
"3",0.000673577101833427
"4",0.00205415484877388
"5",2.42900569772752e-05
"6",-0.000168992959723479
"7",-0.00166799274465641
"8",0.00364481680804053
"9",0.00083451434816648
"10",-0.00198412003543658
"11",0.000456689880641561
"12",0.000621091551801735
"13",0.000835969777146941
"14",0.000864708302435451
"15",-0.000108728343902642
"16",3.29131566703132e-05
"17",0.00241965078686412
"18",0.00065099768351422
"19",0.000126327979295433
"20",0.0012339388032819
"21",0.00177459632273036
"22",0.00225767825751097
"23",-3.66213885164023e-05
"24",0.00013544146095322
"25",0.00225996896089755
"26",0.00108873409408944
"27",-0.00195123511183747
"28",0.000895839788101253
"29",0.000880879444342507
"30",0.000286419789868596
"31",-0.00100831924907977
"32",0.000285250587614344
"33",0.00196905379713738
"34",0.000218321643168
"35",0.000583659144325241
"36",4.70865985226445e-05
"37",0.000866464566699565
"38",0.000493150110577847
"39",0.000384889551112297
"40",-0.000324753204245448
"41",0.000848651732530627
"42",0.00138067601094763
"43",0.000529522366208732
"44",0.00099985652517219
"45",0.000288374440759003
"46",-0.000159725543198931
"47",0.000573333199910475
"48",0.000241059157915028
"49",0.000541358427812595
"50",-0.000448481370315819
"51",0.000471703709006812
"52",0.00140289386886132
"53",0.000468663720010608
"54",-0.000158708612988249
"55",-0.000966030113925234
"56",0.00059805686061338
"57",0.00117245295637899
"58",-7.22086373176624e-05
"59",0.000500683501174001
"60",0.000212195655023444
"61",0.000256808206858147
"62",0.000958694097387712
"63",-2.25495696510241e-05
"64",0.000683649600534581
"65",0.000122260176924131
"66",4.09245324017404e-06
"67",0.000576037695180228
"68",0.00090676097301612
"69",0.00176610628851218
"70",0.00058634171656102
"71",-8.81849667993032e-05
"72",0.000377543257779598
"73",0.00171143750042694
"74",0.00154579039539303
"75",-0.00127432693241431
"76",0.0010196973135911
"77",-3.28083123405606e-05
"78",0.00164294012073367
"79",0.000442257403846871
"80",-0.00120748674410067
"81",0.00205596692555419
"82",-0.0003498541680818
"83",-0.000356022910926578
"84",0.00111106375050816
"85",0.000345660169665588
"86",0.000367008733269902
"87",0.00220485017063247
"88",1.08295723945538e-05
"89",-5.37387542679627e-05
"90",0.000328532731958871
"91",0.000969803340735497
"92",0.00269253518645713
"93",0.000645205659655095
"94",0.000584258535136259
"95",0.00105882138472739
"96",4.91499462635766e-05
"97",0.000556466748573772
"98",0.00114429872015006
"99",-0.00151398806542222
"100",0.00109253128351338
"101",-0.000833703247775534
"102",0.000884493835312849
"103",0.00230677687538761
"104",-0.00107716754618396
"105",0.00114104512867548
"106",-0.000473600952034706
